1|1|1
2|2|2
3|3|3
4|4|4
5|5|3
6|6|5
7|7|1
8|8|2
9|9|6
10|10|2
11|11|7
12|12|2
13|13|7
14|14|1
15|15|8
16|16|6
17|17|5
18|18|5
19|19|5
20|20|4
21|21|4
22|22|3
23|23|1
24|24|8
25|25|1
26|26|7
27|27|1
28|28|1
29|29|1
30|30|7
31|31|2
32|32|1
33|33|1
34|34|1
35|35|1
36|36|3
37|37|5
38|38|1
39|39|1
40|40|1
41|41|1
42|42|3
43|43|2
44|44|1
45|45|5
46|46|1
47|47|1
48|48|1
49|49|1
50|50|2
51|51|1
52|52|5
53|53|1
54|54|2
55|55|1
56|56|1
57|57|7
58|58|1
59|59|5
60|60|9
61|61|7
62|62|1
63|63|9
64|64|2
65|65|8
66|66|2
67|67|2
68|68|9
69|69|10
70|70|2
71|71|9
72|72|7
73|73|1
74|74|7
75|75|7
76|76|7
77|77|6
78|78|11
79|79|3
80|80|2
81|81|5
82|82|5
83|83|2
84|84|11
85|85|7
86|86|6
87|87|9
88|88|7
89|89|1
90|90|1
91|91|7
92|92|7
93|93|7
94|94|12
95|95|9
96|96|2
97|97|2
98|98|6
99|99|1
100|100|7
